Model,GOF Recall,LOF Recall,Neutral Recall
447,0.74,0.88,0.91
446,0.74,0.88,0.91
445,0.74,0.88,0.91
439,0.74,0.88,0.91
444,0.74,0.88,0.91
427,0.74,0.88,0.91
443,0.74,0.88,0.91
441,0.74,0.88,0.91
429,0.74,0.88,0.91
398,0.74,0.88,0.91
426,0.74,0.88,0.91
425,0.74,0.88,0.91
399,0.74,0.88,0.91
400,0.74,0.88,0.92
401,0.74,0.88,0.91
402,0.74,0.88,0.91
404,0.74,0.87,0.92
405,0.74,0.88,0.91
406,0.74,0.88,0.91
407,0.74,0.89,0.91
408,0.74,0.89,0.91
409,0.74,0.88,0.91
410,0.74,0.89,0.91
411,0.74,0.88,0.91
28,0.74,0.58,0.81
412,0.74,0.89,0.91
413,0.74,0.88,0.91
414,0.74,0.89,0.91
395,0.74,0.88,0.91
454,0.74,0.89,0.91
415,0.74,0.89,0.91
419,0.74,0.89,0.91
420,0.74,0.88,0.91
421,0.74,0.89,0.91
423,0.74,0.88,0.91
453,0.74,0.88,0.91
417,0.74,0.88,0.91
455,0.74,0.89,0.91
477,0.74,0.88,0.91
456,0.74,0.88,0.91
418,0.74,0.88,0.91
125,0.74,0.85,0.91
277,0.74,0.86,0.91
275,0.74,0.87,0.91
274,0.74,0.87,0.91
273,0.74,0.87,0.91
272,0.74,0.87,0.91
271,0.74,0.87,0.92
270,0.74,0.87,0.92
269,0.74,0.87,0.91
268,0.74,0.87,0.91
267,0.74,0.87,0.92
266,0.74,0.87,0.91
265,0.74,0.87,0.91
264,0.74,0.87,0.92
262,0.74,0.87,0.91
256,0.74,0.87,0.91
254,0.74,0.87,0.91
195,0.74,0.87,0.92
203,0.74,0.87,0.91
482,0.74,0.88,0.91
485,0.74,0.88,0.91
463,0.74,0.88,0.91
462,0.74,0.89,0.91
91,0.74,0.84,0.91
471,0.74,0.88,0.91
467,0.74,0.88,0.91
466,0.74,0.88,0.91
475,0.74,0.88,0.91
465,0.74,0.88,0.91
464,0.74,0.89,0.91
473,0.74,0.88,0.91
472,0.74,0.88,0.91
96,0.74,0.85,0.91
461,0.74,0.89,0.91
460,0.74,0.88,0.91
459,0.74,0.89,0.91
476,0.74,0.88,0.91
458,0.74,0.88,0.91
457,0.74,0.89,0.91
