Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
114,0.46,0.89,0.92,0.72,0.85,0.91,0.842,0.5461,0.7614,0.56,0.87,0.92,0.9673573249883402,0.6467683842410994,0.9430424932330355
115,0.46,0.89,0.92,0.72,0.85,0.91,0.842,0.5464,0.7558,0.56,0.87,0.92,0.9672702958069883,0.6420610001470994,0.9436668263056215
116,0.46,0.89,0.92,0.72,0.85,0.91,0.842,0.5464,0.7558,0.56,0.87,0.92,0.9672702958069883,0.6420610001470994,0.9436668263056215
117,0.48,0.89,0.92,0.72,0.86,0.91,0.842,0.5644,0.7649,0.58,0.87,0.92,0.9671184040548667,0.6482010534000751,0.9436989024719382
118,0.49,0.9,0.93,0.75,0.85,0.91,0.8462,0.5758,0.7664,0.59,0.87,0.92,0.9674416005687798,0.6590276901245287,0.9413950520041093
119,0.48,0.89,0.92,0.75,0.85,0.91,0.8434,0.5744,0.7629,0.59,0.87,0.92,0.9676102144933616,0.6628160730613204,0.9421658397210886
120,0.48,0.9,0.92,0.76,0.85,0.91,0.8455,0.5773,0.7651,0.59,0.87,0.92,0.9675705480361156,0.6696286600162437,0.9418326009929889
121,0.48,0.9,0.93,0.75,0.85,0.91,0.8483,0.5744,0.7664,0.59,0.87,0.92,0.9673882396962459,0.6653876938261057,0.9418177388926088
122,0.48,0.89,0.92,0.75,0.85,0.91,0.8441,0.573,0.7629,0.59,0.87,0.92,0.9673722733785969,0.6656659287030334,0.9418445437278705
123,0.49,0.9,0.92,0.75,0.85,0.91,0.8434,0.5758,0.765,0.59,0.87,0.92,0.9672636309027997,0.6522198735283812,0.9416800903482341
124,0.48,0.9,0.93,0.75,0.85,0.91,0.8462,0.573,0.7665,0.59,0.87,0.92,0.9672960351882368,0.6523330142744933,0.9417886862306661
125,0.48,0.9,0.92,0.74,0.85,0.91,0.8469,0.5716,0.7679,0.59,0.87,0.92,0.967595615328448,0.6615912063850824,0.9417409403201235
126,0.48,0.9,0.93,0.75,0.85,0.91,0.8476,0.5716,0.7686,0.58,0.87,0.92,0.9675972440571448,0.6822135085218716,0.9419120912899648
127,0.48,0.9,0.93,0.75,0.85,0.91,0.8483,0.5702,0.7687,0.58,0.87,0.92,0.9673434376266009,0.6858197161883991,0.9415894054488351
128,0.48,0.9,0.93,0.75,0.85,0.91,0.8476,0.5702,0.7679,0.58,0.87,0.92,0.9673061025852466,0.6857661971743766,0.9417237728402926
129,0.47,0.9,0.93,0.75,0.85,0.91,0.8469,0.5634,0.7623,0.58,0.87,0.92,0.9675014995425643,0.6705569364075608,0.941830746395529
130,0.48,0.9,0.92,0.75,0.85,0.91,0.8448,0.5702,0.7651,0.58,0.87,0.92,0.9674680224610646,0.6783395877661548,0.9420524164614613
131,0.46,0.9,0.93,0.75,0.85,0.91,0.8476,0.5607,0.763,0.57,0.87,0.92,0.967894889619281,0.6778668173397692,0.9420056671311351
132,0.48,0.9,0.92,0.75,0.85,0.91,0.8483,0.5702,0.7645,0.58,0.87,0.92,0.9677092712373696,0.6810041266267445,0.9421296949506793
133,0.47,0.9,0.92,0.75,0.84,0.91,0.8434,0.5675,0.7595,0.58,0.87,0.92,0.9679006457862758,0.6865993104882542,0.9425469739536283
134,0.48,0.9,0.93,0.75,0.85,0.91,0.8462,0.5702,0.7665,0.58,0.87,0.92,0.9679562477530665,0.6793515665975531,0.9431697610528885
135,0.48,0.9,0.93,0.75,0.85,0.91,0.849,0.5716,0.7672,0.58,0.87,0.92,0.9675098377366743,0.6830628195139368,0.943066208744858
136,0.48,0.9,0.93,0.76,0.85,0.91,0.849,0.5773,0.7672,0.59,0.87,0.92,0.9681616002689986,0.6801949899376502,0.9430570853347134
137,0.48,0.9,0.93,0.76,0.85,0.91,0.849,0.5759,0.768,0.59,0.87,0.92,0.9676660711303627,0.6782306876358726,0.943011162319656
138,0.48,0.9,0.93,0.75,0.85,0.91,0.849,0.573,0.768,0.59,0.87,0.92,0.9680103482775716,0.6809367467170645,0.9434858788897839
139,0.49,0.9,0.92,0.75,0.85,0.91,0.8469,0.5787,0.7672,0.59,0.87,0.92,0.9680602084716258,0.6766135651819978,0.9432898721783054
140,0.5,0.9,0.93,0.76,0.85,0.92,0.8512,0.5859,0.7707,0.6,0.88,0.92,0.967766508919631,0.6795095490289249,0.9433658983866899
141,0.49,0.9,0.93,0.76,0.85,0.92,0.8498,0.5844,0.7672,0.6,0.87,0.92,0.9674472592582598,0.6733673936466755,0.9432889751043079
