Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
104,0.47,0.89,0.93,0.72,0.85,0.91,0.8483,0.5559,0.7642,0.57,0.87,0.92
105,0.47,0.89,0.93,0.73,0.85,0.91,0.8484,0.5588,0.7656,0.57,0.87,0.92
106,0.46,0.89,0.92,0.73,0.85,0.91,0.8448,0.5533,0.7594,0.57,0.87,0.92
107,0.47,0.89,0.92,0.72,0.85,0.91,0.8441,0.5518,0.7622,0.57,0.87,0.92
108,0.46,0.89,0.92,0.73,0.85,0.91,0.8441,0.552,0.7579,0.57,0.87,0.92
109,0.46,0.89,0.93,0.72,0.85,0.91,0.8455,0.5504,0.76,0.57,0.87,0.92
110,0.48,0.89,0.92,0.73,0.85,0.91,0.8469,0.563,0.7636,0.58,0.87,0.92
111,0.47,0.89,0.92,0.72,0.85,0.91,0.8441,0.5559,0.7614,0.57,0.87,0.92
112,0.48,0.89,0.93,0.72,0.85,0.91,0.8483,0.5587,0.7642,0.57,0.87,0.92
113,0.48,0.89,0.92,0.72,0.85,0.91,0.8455,0.5587,0.7656,0.57,0.87,0.92
114,0.46,0.89,0.92,0.72,0.85,0.91,0.842,0.5461,0.7614,0.56,0.87,0.92
115,0.46,0.89,0.92,0.72,0.85,0.91,0.842,0.5464,0.7558,0.56,0.87,0.92
116,0.46,0.89,0.92,0.72,0.85,0.91,0.842,0.5464,0.7558,0.56,0.87,0.92
117,0.48,0.89,0.92,0.72,0.86,0.91,0.842,0.5644,0.7649,0.58,0.87,0.92
118,0.49,0.9,0.93,0.75,0.85,0.91,0.8462,0.5758,0.7664,0.59,0.87,0.92
119,0.48,0.89,0.92,0.75,0.85,0.91,0.8434,0.5744,0.7629,0.59,0.87,0.92
120,0.48,0.9,0.92,0.76,0.85,0.91,0.8455,0.5773,0.7651,0.59,0.87,0.92
121,0.48,0.9,0.93,0.75,0.85,0.91,0.8483,0.5744,0.7664,0.59,0.87,0.92
122,0.48,0.89,0.92,0.75,0.85,0.91,0.8441,0.573,0.7629,0.59,0.87,0.92
123,0.49,0.9,0.92,0.75,0.85,0.91,0.8434,0.5758,0.765,0.59,0.87,0.92
