Model,Accuracy
358,0.8643588837866478
322,0.8643588837866478
355,0.8643588837866478
351,0.8643588837866478
352,0.8643588837866478
353,0.8643588837866478
357,0.8647121158601201
240,0.8647121158601201
354,0.8647121158601201
359,0.8647121158601201
370,0.8647121158601201
321,0.8647121158601201
379,0.8647121158601201
314,0.8647121158601201
381,0.8647121158601201
312,0.8647121158601201
383,0.8647121158601201
468,0.8647121158601201
373,0.8650653479335924
375,0.8650653479335924
388,0.8650653479335924
289,0.8650653479335924
307,0.8650653479335924
325,0.8650653479335924
340,0.8650653479335924
300,0.8650653479335924
465,0.8650653479335924
397,0.8650653479335924
396,0.8650653479335924
405,0.8654185800070646
369,0.8654185800070646
368,0.8654185800070646
315,0.8654185800070646
303,0.8654185800070646
407,0.8654185800070646
382,0.8654185800070646
384,0.8654185800070646
473,0.8654185800070646
386,0.8657718120805369
378,0.8657718120805369
402,0.8657718120805369
292,0.8657718120805369
479,0.8657718120805369
293,0.8657718120805369
365,0.8657718120805369
309,0.8657718120805369
361,0.8657718120805369
495,0.8657718120805369
398,0.8661250441540091
470,0.8661250441540091
431,0.8661250441540091
453,0.8661250441540091
417,0.8661250441540091
423,0.8661250441540091
380,0.8661250441540091
318,0.8661250441540091
482,0.8664782762274814
440,0.8664782762274814
409,0.8664782762274814
317,0.8664782762274814
311,0.8664782762274814
320,0.8664782762274814
481,0.8664782762274814
406,0.8664782762274814
429,0.8664782762274814
462,0.8664782762274814
463,0.8664782762274814
299,0.8664782762274814
296,0.8664782762274814
424,0.8664782762274814
316,0.8664782762274814
425,0.8668315083009537
474,0.8668315083009537
449,0.8668315083009537
441,0.8668315083009537
448,0.8668315083009537
456,0.8668315083009537
460,0.8668315083009537
489,0.8668315083009537
475,0.8668315083009537
477,0.8668315083009537
478,0.8668315083009537
385,0.8668315083009537
415,0.8668315083009537
305,0.8668315083009537
306,0.8668315083009537
313,0.8668315083009537
376,0.8668315083009537
395,0.8668315083009537
408,0.8668315083009537
499,0.8668315083009537
466,0.8671847403744259
480,0.8671847403744259
401,0.8671847403744259
443,0.8671847403744259
366,0.8671847403744259
404,0.8671847403744259
483,0.8671847403744259
437,0.8671847403744259
447,0.8671847403744259
399,0.8671847403744259
302,0.8671847403744259
