Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
217,0.41,0.88,0.91,0.67,0.85,0.88,0.8018,0.494,0.7449,0.51,0.86,0.89,0.956370696237161,0.5064711307185694,0.9298475543700127
218,0.43,0.88,0.91,0.67,0.85,0.88,0.8039,0.5064,0.747,0.53,0.87,0.89,0.9561994167348045,0.5026282689089111,0.9294717784644494
219,0.43,0.88,0.91,0.67,0.86,0.88,0.8032,0.5051,0.7512,0.52,0.87,0.89,0.9564380999996699,0.4985899108422818,0.9298759934201807
220,0.43,0.88,0.91,0.66,0.86,0.88,0.8018,0.4989,0.7484,0.52,0.87,0.89,0.9565877137940194,0.4886628454006503,0.9292289172556147
221,0.44,0.87,0.91,0.66,0.86,0.88,0.8046,0.5094,0.7512,0.53,0.87,0.89,0.9563053905841712,0.5039487184370736,0.9295461880472098
222,0.44,0.87,0.91,0.66,0.86,0.88,0.8047,0.5067,0.7498,0.53,0.87,0.89,0.9563281695170861,0.49645281722426043,0.9293143696689448
223,0.43,0.87,0.91,0.64,0.86,0.88,0.8045,0.4907,0.7448,0.51,0.86,0.9,0.9560103814623083,0.4887010249520636,0.928752892967244
224,0.43,0.88,0.91,0.64,0.86,0.88,0.8031,0.4933,0.7491,0.52,0.87,0.89,0.9563147757178891,0.5023385610309851,0.9294155354981709
225,0.44,0.88,0.91,0.67,0.86,0.88,0.8025,0.509,0.747,0.53,0.87,0.89,0.9561498146462099,0.5030893915601772,0.9293787238010914
226,0.44,0.87,0.91,0.64,0.86,0.88,0.806,0.5004,0.747,0.52,0.87,0.9,0.956453613470007,0.4902943739756283,0.929421913796021
227,0.41,0.87,0.91,0.62,0.86,0.88,0.806,0.4741,0.7462,0.5,0.87,0.9,0.9559676606095842,0.47507952588336877,0.9283503897829556
228,0.43,0.88,0.91,0.66,0.85,0.88,0.8045,0.4989,0.747,0.52,0.87,0.9,0.956449483584615,0.49948919560518334,0.928903730923506
229,0.44,0.88,0.91,0.67,0.86,0.88,0.8032,0.5103,0.7512,0.53,0.87,0.89,0.9562597975645707,0.5220548098179613,0.9292180054235449
230,0.43,0.88,0.91,0.65,0.86,0.88,0.8053,0.4996,0.7498,0.52,0.87,0.9,0.9566980920160542,0.5049805583804056,0.9295964985210811
231,0.43,0.87,0.91,0.65,0.86,0.88,0.806,0.4957,0.747,0.52,0.87,0.9,0.9564185335919978,0.49711337683528156,0.9292789643802676
232,0.45,0.88,0.91,0.66,0.86,0.88,0.8067,0.5107,0.754,0.53,0.87,0.9,0.956751544340723,0.5245494754025776,0.9294711416172516
233,0.44,0.87,0.91,0.66,0.86,0.88,0.8032,0.5085,0.7491,0.53,0.87,0.89,0.9562993671215013,0.5199339133112615,0.9285746937900392
234,0.44,0.88,0.91,0.66,0.86,0.88,0.8053,0.5085,0.7498,0.53,0.87,0.9,0.9566132471086617,0.5326586049253609,0.9297239836079526
235,0.45,0.87,0.91,0.66,0.86,0.88,0.8046,0.5134,0.7491,0.53,0.87,0.89,0.9566368289058834,0.5166127869392216,0.9291989132563345
236,0.45,0.88,0.92,0.67,0.86,0.88,0.8068,0.5182,0.7548,0.54,0.87,0.9,0.956660868917246,0.5275197199095492,0.9285287049296832
237,0.44,0.88,0.91,0.66,0.86,0.88,0.8067,0.5085,0.7512,0.53,0.87,0.9,0.9565601275158557,0.5134830264899573,0.9290549900639482
238,0.47,0.87,0.91,0.66,0.87,0.88,0.8053,0.5247,0.7569,0.55,0.87,0.9,0.9565449856026177,0.5255248654356968,0.9298474760249915
239,0.47,0.88,0.91,0.66,0.87,0.88,0.8046,0.5247,0.7562,0.55,0.87,0.89,0.9567489665309794,0.5319383159089703,0.9293227331711804
240,0.49,0.87,0.91,0.66,0.88,0.88,0.8054,0.5381,0.7634,0.56,0.88,0.9,0.9575771126296292,0.5301717574382778,0.9299479032256761
241,0.44,0.87,0.91,0.65,0.86,0.87,0.8018,0.5036,0.7526,0.53,0.87,0.89,0.9569183834351942,0.5075334684954352,0.928737106575877
242,0.46,0.88,0.92,0.66,0.87,0.88,0.8068,0.519,0.7569,0.54,0.87,0.9,0.9571311605233168,0.5164937828299502,0.9281547183852915
243,0.44,0.87,0.91,0.67,0.86,0.88,0.8032,0.5129,0.7498,0.53,0.87,0.89,0.9568677990196642,0.5298985707301226,0.9280902729893978
244,0.43,0.88,0.91,0.68,0.86,0.88,0.804,0.5082,0.7491,0.53,0.87,0.89,0.9569990331458511,0.5362831227178141,0.9282540902364769
245,0.45,0.87,0.92,0.66,0.87,0.88,0.8061,0.5107,0.7548,0.53,0.87,0.9,0.9568190573171015,0.5183499595598212,0.928269832785169
246,0.45,0.87,0.91,0.68,0.86,0.88,0.8018,0.524,0.7512,0.54,0.87,0.89,0.956878771912293,0.5345142657868058,0.9285112028669252
247,0.45,0.87,0.91,0.66,0.86,0.88,0.8025,0.5193,0.7512,0.54,0.87,0.89,0.9571982536993044,0.5190797656056211,0.927360937531834
248,0.46,0.88,0.91,0.68,0.86,0.88,0.8054,0.5326,0.7562,0.55,0.87,0.9,0.9568194151091807,0.5360423161175566,0.9281967561576512
249,0.46,0.88,0.91,0.68,0.86,0.88,0.8054,0.5326,0.7562,0.55,0.87,0.9,0.9568194151091807,0.5360423161175566,0.9281967561576512
250,0.45,0.88,0.92,0.68,0.86,0.88,0.8068,0.5271,0.7576,0.55,0.87,0.9,0.9567386113114461,0.5313679095216528,0.9280649262749848
251,0.44,0.87,0.91,0.67,0.86,0.87,0.8012,0.509,0.7498,0.53,0.87,0.89,0.9566696032165367,0.5216477474060963,0.9269295782502784
252,0.45,0.88,0.91,0.68,0.86,0.88,0.8025,0.5213,0.7505,0.54,0.87,0.89,0.9566352133018918,0.5350788330035918,0.9276221834618619
253,0.43,0.87,0.91,0.64,0.86,0.88,0.8018,0.4926,0.7455,0.51,0.86,0.89,0.9565540143133557,0.5114164610251419,0.9270598316832024
254,0.46,0.88,0.91,0.68,0.87,0.87,0.8011,0.5339,0.7555,0.55,0.87,0.89,0.9568562792491705,0.5417592589287337,0.9274346771782542
255,0.45,0.88,0.91,0.67,0.86,0.88,0.8047,0.5196,0.7548,0.54,0.87,0.89,0.9567492763651085,0.5267272667026409,0.9272061961541745
256,0.45,0.88,0.92,0.68,0.86,0.88,0.8089,0.5217,0.754,0.54,0.87,0.9,0.9567574721797725,0.5095808876213126,0.9275676419085246
257,0.46,0.88,0.91,0.69,0.86,0.88,0.806,0.5342,0.7519,0.55,0.87,0.9,0.9569228806540655,0.5176634992067808,0.9274839783986456
258,0.45,0.87,0.91,0.66,0.86,0.88,0.8032,0.5138,0.7491,0.53,0.87,0.89,0.9568483910062653,0.5246391111208357,0.926840903746255
259,0.45,0.88,0.91,0.68,0.86,0.88,0.8046,0.5227,0.7533,0.54,0.87,0.89,0.956624831912244,0.5206616663829945,0.9273663603464077
260,0.46,0.88,0.91,0.68,0.86,0.88,0.8032,0.5284,0.7519,0.55,0.87,0.89,0.9567482111046581,0.5230922810871415,0.9274973823758805
261,0.45,0.88,0.91,0.68,0.86,0.88,0.806,0.5257,0.7505,0.54,0.87,0.9,0.9568611440543036,0.5315228115014663,0.9277014525757522
262,0.46,0.88,0.91,0.68,0.86,0.88,0.8067,0.5284,0.754,0.55,0.87,0.9,0.9569802885295424,0.5284767200454955,0.9270667812661542
263,0.45,0.88,0.91,0.7,0.86,0.88,0.8046,0.5291,0.7519,0.55,0.87,0.89,0.956911117769156,0.5333981395631684,0.92782060617977
264,0.46,0.87,0.92,0.67,0.86,0.88,0.8068,0.5223,0.7512,0.54,0.87,0.9,0.9568584841692365,0.5179111402443447,0.9268732329570275
265,0.48,0.87,0.91,0.68,0.86,0.88,0.8046,0.5395,0.7533,0.56,0.87,0.9,0.9567486112840399,0.5356449482061335,0.9282131036346317
266,0.45,0.88,0.91,0.68,0.86,0.88,0.8053,0.5271,0.7505,0.55,0.87,0.9,0.9570820507831779,0.5316452988599359,0.9270655550003496
267,0.46,0.88,0.91,0.68,0.86,0.88,0.8061,0.5326,0.7526,0.55,0.87,0.9,0.956927313449062,0.5305995609061956,0.9275401628224472
268,0.45,0.88,0.92,0.69,0.86,0.88,0.8075,0.5261,0.7548,0.54,0.87,0.9,0.9574111314828903,0.5421756399131776,0.9276172539543512
269,0.44,0.88,0.91,0.69,0.86,0.88,0.8054,0.5234,0.7512,0.54,0.87,0.9,0.9571255639761171,0.5269687488102134,0.9271078999914111
270,0.45,0.88,0.92,0.69,0.86,0.88,0.8068,0.5274,0.7519,0.55,0.87,0.9,0.9571399957625941,0.5188811597029424,0.9273144281754488
271,0.48,0.87,0.92,0.69,0.87,0.88,0.8068,0.544,0.7534,0.56,0.87,0.9,0.9572979673643529,0.5397454859424566,0.9279939494761217
272,0.45,0.88,0.92,0.68,0.86,0.88,0.8104,0.5271,0.7555,0.55,0.87,0.9,0.9570273650569967,0.5264847190987849,0.9281872694067371
273,0.47,0.88,0.92,0.68,0.87,0.88,0.8082,0.5366,0.7569,0.56,0.87,0.9,0.9573358759030572,0.5198487059760087,0.9278085809293786
274,0.48,0.88,0.91,0.7,0.87,0.88,0.8054,0.5484,0.7583,0.57,0.87,0.9,0.9571372161102809,0.5289986395121545,0.927934949951214
275,0.46,0.88,0.91,0.68,0.86,0.88,0.8046,0.5268,0.7526,0.55,0.87,0.89,0.9572433778249767,0.5175822922709674,0.9286319530625011
276,0.48,0.88,0.91,0.7,0.86,0.88,0.8053,0.5499,0.7562,0.57,0.87,0.9,0.9565529267724105,0.5453240070477765,0.9276704644877394
277,0.46,0.88,0.91,0.7,0.86,0.88,0.8053,0.5372,0.754,0.55,0.87,0.9,0.9566420988985149,0.5398828462546467,0.9275046364147487
278,0.48,0.88,0.91,0.7,0.86,0.88,0.8053,0.547,0.7548,0.57,0.87,0.9,0.956977710984075,0.5639750079773433,0.9289802000117467
279,0.47,0.88,0.91,0.7,0.86,0.88,0.8088,0.5471,0.7583,0.56,0.87,0.9,0.9569932849780745,0.5499556568762471,0.9279502592832268
280,0.47,0.87,0.91,0.7,0.86,0.88,0.8054,0.5456,0.7512,0.56,0.87,0.9,0.9569099140650179,0.5468759630902085,0.9282189502924933
281,0.48,0.88,0.91,0.68,0.87,0.88,0.8053,0.5469,0.7562,0.57,0.87,0.9,0.9565623779845694,0.5456574299279794,0.9278218897962708
282,0.48,0.88,0.91,0.7,0.86,0.88,0.8067,0.5514,0.7569,0.57,0.87,0.9,0.9570961875039716,0.5410514374273644,0.9286109398988478
283,0.48,0.87,0.91,0.69,0.87,0.88,0.8046,0.5499,0.7555,0.57,0.87,0.89,0.9566622130589169,0.5511699629159669,0.9285213514150343
284,0.48,0.88,0.92,0.72,0.86,0.88,0.8075,0.563,0.7576,0.58,0.87,0.9,0.9568087298811001,0.5527150746217151,0.9279757185563752
285,0.45,0.88,0.91,0.7,0.86,0.88,0.8081,0.5331,0.7533,0.55,0.87,0.9,0.9567962090384972,0.5240882383737099,0.9276854622740709
286,0.49,0.88,0.91,0.7,0.87,0.88,0.8081,0.5587,0.759,0.58,0.87,0.9,0.9568655593676779,0.5549090195640787,0.9279645213309113
287,0.47,0.88,0.92,0.7,0.86,0.88,0.8082,0.5443,0.7548,0.56,0.87,0.9,0.9567296291422402,0.553321701091147,0.9278612285169838
288,0.47,0.88,0.91,0.68,0.86,0.88,0.8067,0.5382,0.7562,0.56,0.87,0.9,0.9565446377785919,0.5515364762800279,0.9282769467267029
289,0.49,0.88,0.91,0.7,0.87,0.88,0.8074,0.5573,0.7619,0.58,0.87,0.9,0.9568499591514161,0.5572907315963689,0.9280951989822749
290,0.47,0.88,0.91,0.69,0.86,0.88,0.8067,0.5426,0.7583,0.56,0.87,0.9,0.9569877980330717,0.5459554948630805,0.9280120074512902
291,0.47,0.88,0.91,0.7,0.86,0.88,0.806,0.5456,0.7562,0.56,0.87,0.9,0.9569616566826463,0.5613727505735496,0.9276486273492404
292,0.5,0.88,0.91,0.7,0.87,0.88,0.8067,0.5633,0.7626,0.58,0.87,0.9,0.9570256568798832,0.561240576988612,0.9286236177177799
293,0.5,0.88,0.91,0.7,0.87,0.88,0.8088,0.5677,0.7597,0.59,0.87,0.9,0.9569103434783686,0.5643770009053063,0.929200316517884
294,0.49,0.88,0.91,0.69,0.87,0.88,0.8067,0.5559,0.7576,0.58,0.87,0.9,0.9569491102348453,0.5502884311216125,0.9278540922110647
295,0.48,0.88,0.92,0.71,0.87,0.88,0.8103,0.5586,0.7569,0.58,0.87,0.9,0.9567736240384228,0.5446963587356618,0.9297948324370321
296,0.49,0.88,0.92,0.68,0.87,0.88,0.8096,0.5514,0.7654,0.57,0.88,0.9,0.956859737128277,0.55138330981655,0.929781197190023
297,0.48,0.88,0.92,0.7,0.86,0.88,0.8096,0.5514,0.7569,0.57,0.87,0.9,0.9567190208979787,0.5660853154890847,0.9292243935021008
298,0.48,0.88,0.92,0.7,0.86,0.88,0.8096,0.5514,0.7569,0.57,0.87,0.9,0.9567190208979787,0.5660853154890847,0.9292243935021008
