Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
94,0.58,0.84,0.93,0.12,0.92,0.92,0.854,0.246,0.7599,0.2,0.88,0.92
95,0.46,0.84,0.92,0.12,0.91,0.92,0.8512,0.2203,0.7538,0.2,0.87,0.92
96,0.6,0.84,0.93,0.19,0.92,0.92,0.8526,0.3207,0.7658,0.29,0.88,0.92
97,0.53,0.84,0.92,0.15,0.92,0.92,0.8505,0.2651,0.76,0.24,0.88,0.92
98,0.64,0.84,0.92,0.18,0.92,0.92,0.8505,0.3248,0.7664,0.29,0.88,0.92
99,0.44,0.84,0.92,0.09,0.91,0.92,0.8519,0.1821,0.7553,0.15,0.87,0.92
100,0.65,0.85,0.92,0.21,0.92,0.92,0.8533,0.3529,0.7722,0.32,0.88,0.92
101,0.67,0.85,0.92,0.21,0.92,0.92,0.8519,0.3571,0.773,0.32,0.88,0.92
102,0.62,0.85,0.92,0.22,0.91,0.92,0.8519,0.3486,0.7664,0.32,0.88,0.92
103,0.67,0.85,0.92,0.19,0.92,0.92,0.8498,0.342,0.7675,0.3,0.88,0.92
104,0.63,0.85,0.93,0.22,0.92,0.92,0.8519,0.3563,0.7687,0.33,0.88,0.92
105,0.69,0.85,0.93,0.24,0.92,0.92,0.854,0.3907,0.775,0.36,0.88,0.92
106,0.66,0.85,0.92,0.24,0.92,0.92,0.8505,0.3826,0.7712,0.36,0.88,0.92
107,0.64,0.85,0.92,0.26,0.91,0.92,0.8505,0.3856,0.7673,0.37,0.88,0.92
108,0.56,0.85,0.92,0.2,0.91,0.92,0.8505,0.3184,0.7632,0.3,0.88,0.92
109,0.62,0.85,0.92,0.26,0.91,0.92,0.8526,0.3855,0.7715,0.37,0.88,0.92
110,0.71,0.85,0.92,0.26,0.92,0.92,0.8469,0.4163,0.7705,0.38,0.88,0.92
111,0.65,0.85,0.92,0.24,0.91,0.92,0.8491,0.3752,0.7677,0.35,0.88,0.92
112,0.66,0.85,0.92,0.25,0.91,0.92,0.8512,0.3859,0.7717,0.36,0.88,0.92
113,0.74,0.85,0.92,0.26,0.92,0.92,0.8526,0.418,0.7757,0.38,0.88,0.92
114,0.72,0.85,0.92,0.19,0.92,0.92,0.8533,0.3565,0.7735,0.3,0.88,0.92
115,0.7,0.85,0.92,0.23,0.92,0.92,0.8526,0.3845,0.7735,0.35,0.88,0.92
116,0.69,0.85,0.93,0.22,0.92,0.92,0.8526,0.3769,0.7733,0.34,0.88,0.92
117,0.68,0.85,0.92,0.22,0.92,0.92,0.849,0.3726,0.7702,0.34,0.88,0.92
118,0.73,0.85,0.92,0.26,0.92,0.92,0.8512,0.4206,0.7725,0.39,0.88,0.92
119,0.7,0.85,0.92,0.23,0.92,0.92,0.8505,0.3845,0.7717,0.35,0.88,0.92
120,0.76,0.85,0.92,0.29,0.92,0.92,0.8491,0.4523,0.7738,0.42,0.88,0.92
121,0.75,0.85,0.92,0.26,0.92,0.92,0.8505,0.4226,0.7754,0.38,0.88,0.92
122,0.73,0.85,0.92,0.27,0.92,0.92,0.8526,0.4276,0.7777,0.39,0.89,0.92
123,0.73,0.85,0.92,0.24,0.92,0.92,0.8469,0.4037,0.7699,0.36,0.88,0.92
