Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
42,0.58,0.89,0.93,0.62,0.88,0.92,0.8561,0.5735,0.7818,0.6,0.88,0.92,0.9680259835642067,0.5274598517686628,0.9339401734056485
43,0.56,0.89,0.93,0.6,0.89,0.92,0.8611,0.5553,0.7874,0.58,0.89,0.93,0.9688381902053089,0.5238784584549849,0.9342862755017509
44,0.58,0.88,0.93,0.55,0.89,0.92,0.8547,0.5368,0.7799,0.56,0.88,0.92,0.9689182639077772,0.5249799612045539,0.93410298379601
45,0.55,0.88,0.92,0.51,0.89,0.92,0.854,0.5032,0.7769,0.53,0.88,0.92,0.9686295628848847,0.504847612167918,0.9348372823982201
46,0.56,0.88,0.92,0.56,0.89,0.92,0.8562,0.5342,0.7811,0.56,0.88,0.92,0.9686048074783837,0.5340967886278607,0.9344479635384905
47,0.56,0.88,0.92,0.54,0.89,0.92,0.8547,0.5255,0.7783,0.55,0.88,0.92,0.968516611297261,0.4946059520247516,0.9361704946333116
48,0.59,0.88,0.92,0.55,0.89,0.92,0.8555,0.5483,0.7819,0.57,0.89,0.92,0.9691823291295283,0.532500004877936,0.9352569245566293
49,0.58,0.89,0.92,0.58,0.89,0.93,0.8562,0.5551,0.7853,0.58,0.89,0.92,0.9687226968883751,0.5416983496800731,0.9337742104380058
50,0.57,0.89,0.92,0.54,0.89,0.93,0.8562,0.5276,0.7818,0.55,0.89,0.92,0.9691387036114314,0.5252551471013063,0.9342618849397619
51,0.38,0.85,0.92,0.21,0.89,0.92,0.8512,0.2539,0.7465,0.27,0.87,0.92,0.9684793301613892,0.32902463208117866,0.9298259135181195
52,0.32,0.84,0.92,0.14,0.9,0.92,0.8533,0.1859,0.7459,0.2,0.87,0.92,0.9699482241087012,0.2788025613242113,0.9248482456582802
53,0.3,0.84,0.93,0.15,0.89,0.92,0.8526,0.1818,0.7394,0.2,0.87,0.92,0.9701211370608247,0.3051721107129273,0.9287373458226915
54,0.27,0.84,0.92,0.11,0.9,0.92,0.8547,0.139,0.7483,0.15,0.87,0.92,0.970160786444921,0.21286689723762053,0.9222616887093297
55,0.27,0.84,0.92,0.1,0.9,0.92,0.8533,0.135,0.7456,0.14,0.87,0.92,0.971308057341249,0.2284172809238548,0.9263323674599261
56,0.25,0.84,0.92,0.09,0.9,0.92,0.8555,0.1254,0.7469,0.14,0.87,0.92,0.9713726251966226,0.2264118950067296,0.9258088698988574
57,0.25,0.84,0.93,0.1,0.9,0.92,0.8583,0.1298,0.7497,0.14,0.87,0.93,0.9716606492082269,0.23689749623367418,0.9272242311937179
58,0.26,0.84,0.93,0.11,0.9,0.92,0.8569,0.1373,0.751,0.15,0.87,0.92,0.9727187392888561,0.23059968220141136,0.9283117802023237
59,0.32,0.85,0.93,0.12,0.9,0.92,0.8576,0.1717,0.7552,0.18,0.87,0.92,0.9726040658351445,0.21130614437298553,0.924550309586724
60,0.23,0.84,0.92,0.09,0.9,0.92,0.8512,0.1157,0.744,0.13,0.87,0.92,0.9725032679408585,0.20330595338102142,0.9222182316446018
61,0.29,0.84,0.92,0.11,0.9,0.92,0.8526,0.1462,0.7478,0.15,0.87,0.92,0.9723172482566139,0.20653607752687428,0.9239480152097296
62,0.28,0.84,0.92,0.11,0.9,0.92,0.8519,0.1425,0.747,0.15,0.87,0.92,0.972373016293982,0.2077687858494062,0.9240609021417889
63,0.28,0.84,0.93,0.11,0.91,0.92,0.8547,0.1444,0.7508,0.15,0.87,0.92,0.973728520989918,0.22440547695122426,0.9264246525303651
64,0.31,0.85,0.93,0.12,0.91,0.93,0.8632,0.1627,0.7603,0.17,0.88,0.93,0.9737596151438439,0.21547129146782745,0.9250023231740504
65,0.27,0.84,0.92,0.11,0.9,0.92,0.8526,0.139,0.7504,0.15,0.87,0.92,0.9734769886995778,0.21800394550355912,0.9258843951671045
66,0.29,0.84,0.93,0.12,0.9,0.92,0.8533,0.1605,0.7497,0.17,0.87,0.92,0.9730214397097036,0.22001091862301841,0.927603265217503
67,0.3,0.84,0.93,0.12,0.9,0.92,0.8554,0.1659,0.7482,0.18,0.87,0.92,0.9732080841631345,0.20656640699233758,0.9260335622725344
