Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
339,333,329.5,329.0,326.0,337.0,326.0
481,334,330.75,339.0,326.0,332.0,326.0
430,335,330.75,333.0,326.0,338.0,326.0
118,336,331.0,321.0,326.0,351.0,326.0
471,337,332.75,337.0,326.0,342.0,326.0
454,338,333.25,340.0,326.0,341.0,326.0
425,339,333.5,338.0,326.0,344.0,326.0
479,340,335.0,342.0,326.0,346.0,326.0
444,341,336.25,334.0,326.0,359.0,326.0
422,342,338.25,347.0,342.0,322.0,342.0
377,343,340.75,351.0,342.0,328.0,342.0
395,344,341.25,346.0,342.0,335.0,342.0
200,345,343.5,343.0,342.0,347.0,342.0
182,346,343.5,341.0,342.0,349.0,342.0
380,347,344.75,345.0,342.0,350.0,342.0
340,348,345.25,344.0,342.0,353.0,342.0
397,349,346.5,348.0,342.0,354.0,342.0
421,350,347.0,352.0,342.0,352.0,342.0
405,351,347.5,349.0,342.0,357.0,342.0
494,352,348.0,353.0,342.0,355.0,342.0
392,353,350.75,359.0,354.0,336.0,354.0
448,354,351.0,349.0,342.0,371.0,342.0
476,355,351.75,360.0,354.0,339.0,354.0
402,356,352.75,363.0,354.0,340.0,354.0
362,357,353.0,356.0,354.0,348.0,354.0
429,358,354.0,365.0,354.0,343.0,354.0
400,359,356.25,361.0,354.0,356.0,354.0
399,360,356.75,357.0,354.0,362.0,354.0
401,361,357.0,362.0,354.0,358.0,354.0
192,362,357.75,354.0,354.0,369.0,354.0
420,363,357.75,355.0,354.0,368.0,354.0
383,364,358.0,358.0,354.0,366.0,354.0
486,365,359.0,364.0,354.0,364.0,354.0
312,366,365.0,368.0,366.0,360.0,366.0
186,367,365.75,366.0,366.0,365.0,366.0
431,368,365.75,370.0,366.0,361.0,366.0
423,369,366.0,369.0,366.0,363.0,366.0
179,370,367.25,367.0,366.0,370.0,366.0
346,371,367.75,372.0,366.0,367.0,366.0
407,372,369.0,371.0,366.0,373.0,366.0
418,373,373.25,375.0,373.0,372.0,373.0
439,374,373.75,373.0,373.0,376.0,373.0
458,375,375.5,376.0,373.0,380.0,373.0
376,376,375.75,377.0,376.0,374.0,376.0
83,377,376.0,374.0,376.0,378.0,376.0
432,378,376.75,380.0,376.0,375.0,376.0
433,379,377.25,378.0,376.0,379.0,376.0
467,380,378.25,379.0,376.0,382.0,376.0
348,381,380.25,382.0,381.0,377.0,381.0
391,382,381.0,381.0,381.0,381.0,381.0
396,383,383.75,385.0,383.0,384.0,383.0
424,384,384.0,387.0,383.0,383.0,383.0
426,385,384.5,384.0,383.0,388.0,383.0
436,386,384.75,383.0,383.0,390.0,383.0
406,387,384.75,388.0,383.0,385.0,383.0
438,388,385.25,386.0,383.0,389.0,383.0
410,389,388.75,390.0,389.0,387.0,389.0
106,390,390.25,389.0,389.0,394.0,389.0
437,391,390.75,393.0,392.0,386.0,392.0
435,392,391.0,391.0,389.0,395.0,389.0
415,393,392.0,392.0,392.0,392.0,392.0
384,394,392.25,394.0,392.0,391.0,392.0
388,395,393.0,395.0,392.0,393.0,392.0
499,396,396.25,397.0,396.0,396.0,396.0
104,397,396.25,396.0,396.0,397.0,396.0
97,398,398.0,398.0,398.0,398.0,398.0
95,399,399.25,400.0,399.0,399.0,399.0
102,400,399.75,399.0,399.0,402.0,399.0
96,401,400.25,402.0,399.0,401.0,399.0
