Model,micro_recall,macro_recall,confusion_matrix
145,0.8986,0.8236,"[[1226, 4, 109], [6, 98, 48], [94, 26, 1220]]"
146,0.9011,0.8273,"[[1231, 4, 104], [5, 99, 48], [92, 27, 1221]]"
147,0.9011,0.8253,"[[1228, 4, 107], [5, 98, 49], [92, 23, 1225]]"
148,0.9029,0.8363,"[[1230, 4, 105], [6, 103, 43], [92, 25, 1223]]"
149,0.8993,0.8144,"[[1226, 4, 109], [5, 93, 54], [90, 23, 1227]]"
150,0.9000,0.8188,"[[1231, 4, 104], [5, 95, 52], [93, 25, 1222]]"
151,0.8990,0.8102,"[[1231, 3, 105], [7, 91, 54], [93, 24, 1223]]"
152,0.9011,0.8098,"[[1234, 3, 102], [7, 90, 55], [91, 22, 1227]]"
153,0.9004,0.8073,"[[1234, 3, 102], [8, 89, 55], [94, 20, 1226]]"
154,0.8986,0.7964,"[[1230, 2, 107], [7, 84, 61], [93, 17, 1230]]"
155,0.8979,0.7998,"[[1231, 3, 105], [7, 86, 59], [91, 24, 1225]]"
156,0.8972,0.7934,"[[1227, 3, 109], [7, 83, 62], [91, 19, 1230]]"
157,0.8976,0.7956,"[[1231, 2, 106], [7, 84, 61], [91, 23, 1226]]"
158,0.9004,0.8151,"[[1227, 3, 109], [7, 93, 52], [92, 19, 1229]]"
159,0.8979,0.7959,"[[1231, 3, 105], [7, 84, 61], [92, 21, 1227]]"
160,0.8986,0.8003,"[[1232, 4, 103], [8, 86, 58], [92, 22, 1226]]"
161,0.9000,0.8032,"[[1231, 4, 104], [8, 87, 57], [91, 19, 1230]]"
162,0.8990,0.8083,"[[1228, 4, 107], [8, 90, 54], [92, 21, 1227]]"
163,0.8979,0.8037,"[[1230, 5, 104], [8, 88, 56], [94, 22, 1224]]"
164,0.8986,0.8119,"[[1225, 3, 111], [7, 92, 53], [92, 21, 1227]]"
165,0.8965,0.7988,"[[1228, 2, 109], [7, 86, 59], [93, 23, 1224]]"
166,0.8965,0.7988,"[[1226, 3, 110], [7, 86, 59], [92, 22, 1226]]"
167,0.8961,0.7907,"[[1229, 2, 108], [7, 82, 63], [94, 20, 1226]]"
168,0.8954,0.7903,"[[1227, 2, 110], [7, 82, 63], [94, 20, 1226]]"
169,0.8958,0.7905,"[[1226, 4, 109], [7, 82, 63], [94, 18, 1228]]"
170,0.8979,0.7998,"[[1226, 2, 111], [8, 86, 58], [92, 18, 1230]]"
171,0.8972,0.7993,"[[1223, 3, 113], [7, 86, 59], [90, 19, 1231]]"
172,0.8976,0.8073,"[[1224, 4, 111], [8, 90, 54], [93, 20, 1227]]"
173,0.8983,0.7981,"[[1226, 4, 109], [7, 85, 60], [91, 17, 1232]]"
174,0.8997,0.8049,"[[1224, 2, 113], [7, 88, 57], [88, 17, 1235]]"
175,0.8958,0.7944,"[[1223, 2, 114], [7, 84, 61], [92, 19, 1229]]"
176,0.8965,0.7891,"[[1226, 2, 111], [8, 81, 63], [90, 19, 1231]]"
177,0.8986,0.7983,"[[1229, 3, 107], [7, 85, 60], [89, 21, 1230]]"
178,0.8972,0.7954,"[[1227, 3, 109], [8, 84, 60], [92, 19, 1229]]"
179,0.8944,0.7817,"[[1225, 3, 111], [8, 78, 66], [92, 19, 1229]]"
180,0.8976,0.7995,"[[1225, 2, 112], [7, 86, 59], [90, 20, 1230]]"
181,0.8976,0.7956,"[[1226, 4, 109], [8, 84, 60], [89, 20, 1231]]"
182,0.8951,0.7881,"[[1223, 2, 114], [8, 81, 63], [87, 23, 1230]]"
183,0.8954,0.7941,"[[1225, 1, 113], [8, 84, 60], [93, 21, 1226]]"
184,0.8986,0.8042,"[[1228, 4, 107], [7, 88, 57], [89, 23, 1228]]"
185,0.8969,0.7874,"[[1229, 1, 109], [8, 80, 64], [92, 18, 1230]]"
186,0.8944,0.7856,"[[1224, 2, 113], [7, 80, 65], [93, 19, 1228]]"
187,0.8979,0.7920,"[[1228, 3, 108], [8, 82, 62], [89, 19, 1232]]"
188,0.8993,0.7988,"[[1231, 2, 106], [7, 85, 60], [89, 21, 1230]]"
189,0.9004,0.8093,"[[1228, 1, 110], [8, 90, 54], [89, 20, 1231]]"
190,0.8990,0.7986,"[[1226, 1, 112], [8, 85, 59], [87, 19, 1234]]"
191,0.8983,0.7961,"[[1226, 1, 112], [7, 84, 61], [90, 17, 1233]]"
192,0.8947,0.7820,"[[1228, 2, 109], [8, 78, 66], [91, 22, 1227]]"
193,0.8965,0.7871,"[[1228, 2, 109], [8, 80, 64], [90, 20, 1230]]"
194,0.9000,0.8052,"[[1229, 2, 108], [7, 88, 57], [88, 21, 1231]]"
195,0.8972,0.8032,"[[1228, 2, 109], [7, 88, 57], [95, 21, 1224]]"
196,0.8958,0.7905,"[[1227, 4, 108], [7, 82, 63], [92, 21, 1227]]"
197,0.8972,0.7915,"[[1226, 4, 109], [7, 82, 63], [88, 20, 1232]]"
198,0.8979,0.8017,"[[1226, 3, 110], [7, 87, 58], [89, 22, 1229]]"
199,0.8969,0.8010,"[[1224, 4, 111], [7, 87, 58], [90, 22, 1228]]"
200,0.8951,0.7881,"[[1226, 2, 111], [7, 81, 64], [92, 21, 1227]]"
201,0.8979,0.8056,"[[1222, 4, 113], [6, 89, 57], [88, 21, 1231]]"
202,0.8986,0.8042,"[[1226, 3, 110], [6, 88, 58], [91, 19, 1230]]"
203,0.8965,0.7968,"[[1224, 3, 112], [7, 85, 60], [90, 21, 1229]]"
204,0.8997,0.8107,"[[1225, 1, 113], [6, 91, 55], [88, 21, 1231]]"
205,0.9000,0.8129,"[[1225, 4, 110], [6, 92, 54], [89, 20, 1231]]"
206,0.9004,0.8151,"[[1223, 4, 112], [6, 93, 53], [88, 19, 1233]]"
207,0.8990,0.8083,"[[1224, 4, 111], [7, 90, 55], [87, 22, 1231]]"
208,0.8986,0.8119,"[[1221, 4, 114], [7, 92, 53], [88, 21, 1231]]"
209,0.8983,0.8117,"[[1223, 4, 112], [6, 92, 54], [88, 24, 1228]]"
210,0.8993,0.8105,"[[1221, 4, 114], [6, 91, 55], [85, 21, 1234]]"
211,0.9007,0.8154,"[[1227, 3, 109], [6, 93, 53], [88, 22, 1230]]"
212,0.9000,0.8090,"[[1224, 4, 111], [7, 90, 55], [86, 20, 1234]]"
213,0.8993,0.8183,"[[1222, 4, 113], [7, 95, 50], [90, 21, 1229]]"
214,0.8979,0.8075,"[[1223, 5, 111], [6, 90, 56], [90, 21, 1229]]"
215,0.8997,0.8107,"[[1224, 3, 112], [6, 91, 55], [85, 23, 1232]]"
