Model,Neutral MCC,GOF MCC,LOF MCC
405,0.8568,0.5804,0.7965
406,0.8512,0.5894,0.792
407,0.854,0.5838,0.7963
408,0.8547,0.628,0.8013
409,0.8547,0.5932,0.7979
410,0.8498,0.5894,0.7923
411,0.8561,0.5932,0.7994
412,0.8554,0.5956,0.7982
413,0.854,0.6015,0.7977
414,0.8554,0.5903,0.799
415,0.8526,0.575,0.7905
416,0.8554,0.6127,0.8029
417,0.8554,0.597,0.7981
418,0.8526,0.5894,0.795
419,0.8526,0.6381,0.8019
420,0.8547,0.5891,0.7963
421,0.854,0.5947,0.7969
422,0.854,0.6023,0.7961
423,0.8512,0.6118,0.7949
424,0.8533,0.5717,0.7925
425,0.8561,0.591,0.7968
426,0.8526,0.5696,0.7938
427,0.8583,0.5787,0.7993
428,0.859,0.5932,0.801
429,0.8561,0.5726,0.7961
430,0.8568,0.5857,0.7972
431,0.8526,0.5879,0.7968
432,0.8526,0.581,0.7945
433,0.8533,0.575,0.7951
434,0.8561,0.581,0.7982
435,0.8547,0.5605,0.7917
436,0.854,0.5696,0.793
437,0.8505,0.5879,0.7905
438,0.8533,0.575,0.7922
439,0.8554,0.5767,0.7945
440,0.8611,0.5803,0.7999
441,0.8604,0.6155,0.8048
442,0.8583,0.5856,0.8021
443,0.8569,0.6023,0.8016
444,0.859,0.5732,0.797
445,0.8583,0.5769,0.7991
446,0.8618,0.5943,0.8042
447,0.8611,0.5623,0.7996
448,0.8597,0.5533,0.7979
449,0.8576,0.5894,0.7999
450,0.8604,0.5894,0.8003
451,0.8547,0.6113,0.8009
452,0.8568,0.5894,0.7993
453,0.8583,0.6165,0.8037
454,0.8597,0.5607,0.7975
455,0.8583,0.5932,0.8003
456,0.8576,0.6255,0.803
457,0.8576,0.5857,0.7995
458,0.8583,0.5531,0.7945
459,0.8597,0.5963,0.8027
460,0.8597,0.5956,0.8021
461,0.8576,0.5825,0.7983
462,0.8611,0.581,0.8017
463,0.8597,0.5889,0.8018
464,0.8583,0.5849,0.7997
465,0.8583,0.5809,0.7986
466,0.8611,0.5795,0.8018
467,0.8583,0.5475,0.794
468,0.8597,0.5956,0.8008
469,0.859,0.6031,0.8025
470,0.8597,0.6077,0.8047
471,0.8583,0.5733,0.7973
472,0.8618,0.5879,0.8002
473,0.8618,0.5717,0.7995
474,0.8569,0.5879,0.8009
475,0.8576,0.5864,0.7988
476,0.8576,0.5686,0.7958
477,0.8618,0.5835,0.8033
478,0.8618,0.5671,0.8009
479,0.8618,0.5422,0.7977
480,0.8611,0.5787,0.7993
481,0.8576,0.5825,0.7965
482,0.8618,0.5894,0.8013
483,0.8569,0.5917,0.7983
484,0.859,0.5825,0.7991
485,0.8611,0.5864,0.8021
486,0.8568,0.5717,0.7959
487,0.8618,0.5662,0.8003
488,0.8604,0.5662,0.7988
489,0.8611,0.5849,0.8023
490,0.8597,0.5756,0.8009
491,0.8618,0.5879,0.8028
492,0.8611,0.581,0.8015
493,0.8611,0.5624,0.7999
494,0.8576,0.5701,0.7964
495,0.859,0.575,0.7993
496,0.8611,0.5717,0.8013
497,0.8639,0.5733,0.8041
498,0.8625,0.5575,0.8003
499,0.8576,0.5171,0.7903
