Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
79,0.72,0.87,0.92,0.53,0.91,0.91,0.8441,0.6028,0.7901,0.61,0.89,0.92,0.9692489860652298,0.6484296751129731,0.9374580174715241
80,0.71,0.87,0.92,0.48,0.91,0.91,0.8462,0.5647,0.7902,0.57,0.89,0.92,0.9693384305664988,0.6292916887358624,0.9363661388253683
81,0.7,0.87,0.93,0.44,0.92,0.91,0.8491,0.5355,0.7887,0.54,0.89,0.92,0.9716976961241024,0.6168083399947392,0.9370761694728649
82,0.72,0.87,0.93,0.48,0.92,0.91,0.847,0.5678,0.7894,0.57,0.89,0.92,0.9719971703370088,0.6420647004267082,0.9391930100584902
83,0.74,0.87,0.93,0.53,0.92,0.91,0.8498,0.6089,0.796,0.62,0.89,0.92,0.9719341482304679,0.6510873932499803,0.9374780020805568
84,0.74,0.86,0.93,0.45,0.92,0.91,0.8441,0.5573,0.7882,0.56,0.89,0.92,0.9717563593488429,0.641086908776602,0.938669195852792
85,0.72,0.86,0.93,0.41,0.92,0.91,0.8462,0.5262,0.7849,0.52,0.89,0.92,0.9716667237848018,0.619006157067264,0.9385757063848115
86,0.74,0.86,0.93,0.41,0.92,0.91,0.8484,0.5366,0.7879,0.53,0.89,0.92,0.9715050451415688,0.6153572830369193,0.9371052167069338
87,0.72,0.86,0.92,0.43,0.91,0.91,0.8441,0.5396,0.7824,0.54,0.89,0.92,0.9717387063124513,0.6224081791172433,0.9377144279387463
88,0.73,0.86,0.93,0.4,0.92,0.91,0.8469,0.5217,0.7842,0.52,0.89,0.92,0.9714367485584746,0.6066910191851264,0.9369490157883108
89,0.72,0.86,0.93,0.41,0.92,0.91,0.8469,0.5262,0.7884,0.52,0.89,0.92,0.9714840358939104,0.6183548228490968,0.9369326217758237
90,0.72,0.86,0.93,0.44,0.92,0.91,0.8469,0.5451,0.7889,0.55,0.89,0.92,0.9715349521548249,0.6274711668190341,0.9373136890847897
91,0.73,0.87,0.92,0.44,0.92,0.91,0.8455,0.5485,0.7879,0.55,0.89,0.92,0.9719208307247694,0.642732355313267,0.9390058179610506
92,0.74,0.87,0.92,0.44,0.92,0.91,0.8455,0.5519,0.7872,0.55,0.89,0.92,0.9720362854174758,0.6344566585876856,0.9381438390953806
93,0.76,0.87,0.92,0.45,0.92,0.91,0.8441,0.5696,0.7886,0.57,0.89,0.92,0.971693814588798,0.6313339063311931,0.9379877629525594
94,0.77,0.86,0.92,0.42,0.92,0.91,0.8455,0.5531,0.7874,0.54,0.89,0.92,0.9715830962683336,0.6202580571274932,0.9360205814639999
95,0.76,0.87,0.92,0.47,0.92,0.91,0.8469,0.5769,0.7905,0.58,0.89,0.92,0.9713783354183694,0.6237211234124062,0.9342483351143113
96,0.76,0.87,0.93,0.43,0.92,0.91,0.849,0.5569,0.7909,0.55,0.89,0.92,0.9712827244451894,0.6169292214836944,0.9358120913332969
97,0.75,0.87,0.93,0.45,0.92,0.91,0.849,0.5661,0.7914,0.57,0.89,0.92,0.9718330724528358,0.6273306239640358,0.9362905846617258
98,0.73,0.87,0.93,0.46,0.91,0.91,0.8469,0.5614,0.7877,0.56,0.89,0.92,0.9717104926940906,0.6325776711855072,0.9360986085221659
99,0.74,0.87,0.92,0.45,0.91,0.91,0.8469,0.5627,0.7884,0.56,0.89,0.92,0.9718018328813974,0.6047627615116317,0.9363593548875286
100,0.71,0.87,0.93,0.44,0.91,0.91,0.849,0.5386,0.7877,0.54,0.89,0.92,0.9719593875990342,0.5993268171138094,0.9363207396111465
101,0.71,0.87,0.93,0.46,0.91,0.91,0.8483,0.555,0.789,0.56,0.89,0.92,0.9718036426130938,0.6127879081690454,0.9366431670217515
102,0.71,0.87,0.93,0.49,0.91,0.91,0.8483,0.5721,0.7916,0.58,0.89,0.92,0.971787824522904,0.615687187550033,0.9379055707709291
103,0.72,0.87,0.92,0.48,0.91,0.91,0.8476,0.5678,0.7895,0.57,0.89,0.92,0.9719798969066742,0.6302149862534087,0.9380299097242197
104,0.72,0.87,0.93,0.48,0.91,0.92,0.8512,0.5678,0.7931,0.57,0.89,0.92,0.9716591781753309,0.6279837365523344,0.9388065638331242
105,0.75,0.88,0.93,0.53,0.92,0.92,0.8519,0.6134,0.8008,0.62,0.9,0.92,0.9717901206270797,0.6566946498100124,0.9377373957088265
106,0.76,0.87,0.92,0.51,0.91,0.91,0.8469,0.6047,0.7938,0.61,0.89,0.92,0.9715016029286951,0.6649249148211559,0.9365972523884718
107,0.81,0.88,0.93,0.55,0.92,0.92,0.8512,0.6532,0.8043,0.66,0.9,0.92,0.9722573062729901,0.6864724869184002,0.9407790280710895
108,0.78,0.88,0.93,0.55,0.92,0.91,0.8498,0.6382,0.8002,0.64,0.9,0.92,0.9719185419264104,0.675576506900059,0.9378647347149127
109,0.82,0.88,0.93,0.58,0.92,0.92,0.8519,0.6759,0.8042,0.68,0.9,0.92,0.9719438699667556,0.6844035950697662,0.9388736097665693
110,0.82,0.88,0.92,0.57,0.92,0.91,0.8462,0.6712,0.8034,0.67,0.9,0.92,0.9722499527048213,0.6969446535956947,0.9403183560798154
111,0.82,0.88,0.93,0.59,0.92,0.92,0.8526,0.6772,0.8077,0.68,0.9,0.92,0.9718231669509699,0.6871192713938155,0.9387367093756428
112,0.83,0.89,0.93,0.61,0.92,0.92,0.8512,0.6947,0.8118,0.7,0.9,0.92,0.9723865027156149,0.701908995460338,0.9388066770130866
113,0.83,0.88,0.93,0.62,0.92,0.92,0.8526,0.7051,0.8103,0.71,0.9,0.92,0.9724500780740722,0.7004138225241199,0.9399754402788929
114,0.79,0.88,0.92,0.57,0.92,0.91,0.8483,0.6528,0.8034,0.66,0.9,0.92,0.9724494800369301,0.6870855410126905,0.9384269031745307
115,0.8,0.88,0.92,0.6,0.91,0.91,0.8469,0.6766,0.8039,0.68,0.9,0.92,0.9724076842561405,0.6856131063177306,0.9408991549531489
116,0.8,0.88,0.92,0.6,0.91,0.91,0.8469,0.6766,0.8039,0.68,0.9,0.92,0.9724076842561405,0.6856131063177306,0.9408991549531489
117,0.79,0.88,0.92,0.53,0.92,0.92,0.8498,0.6351,0.8042,0.64,0.9,0.92,0.9721794681381161,0.6697826668870979,0.9395657109188045
118,0.73,0.88,0.92,0.56,0.91,0.92,0.8505,0.6197,0.801,0.63,0.9,0.92,0.9722824816605881,0.6605003568123684,0.9387387646499292
119,0.77,0.89,0.93,0.62,0.92,0.92,0.8526,0.6795,0.8102,0.69,0.9,0.92,0.9730531467601639,0.6899039040495347,0.9402629246393646
