Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
187,0.79,0.88,0.93,0.54,0.92,0.92,0.8526,0.6366,0.8043,0.64,0.9,0.92
188,0.79,0.88,0.93,0.56,0.92,0.92,0.8554,0.6479,0.8055,0.65,0.9,0.92
189,0.81,0.88,0.93,0.59,0.92,0.92,0.8526,0.6785,0.8076,0.68,0.9,0.92
190,0.81,0.88,0.93,0.56,0.92,0.92,0.8526,0.6581,0.8051,0.66,0.9,0.92
191,0.82,0.88,0.93,0.55,0.92,0.92,0.8512,0.6603,0.803,0.66,0.9,0.92
192,0.76,0.88,0.93,0.51,0.92,0.92,0.8512,0.6098,0.7972,0.61,0.89,0.92
193,0.78,0.88,0.93,0.53,0.92,0.92,0.8519,0.6266,0.8008,0.63,0.9,0.92
194,0.79,0.88,0.93,0.58,0.92,0.92,0.8547,0.6624,0.8069,0.67,0.9,0.92
195,0.79,0.88,0.92,0.58,0.91,0.92,0.849,0.6624,0.8011,0.67,0.9,0.92
196,0.77,0.88,0.93,0.54,0.92,0.92,0.8505,0.6266,0.7999,0.63,0.9,0.92
197,0.77,0.88,0.93,0.54,0.92,0.92,0.8526,0.6299,0.8029,0.64,0.9,0.92
198,0.78,0.88,0.93,0.57,0.92,0.92,0.8519,0.6511,0.8034,0.66,0.9,0.92
199,0.77,0.88,0.93,0.57,0.92,0.91,0.8498,0.6479,0.802,0.66,0.9,0.92
200,0.78,0.88,0.93,0.53,0.92,0.92,0.8498,0.6283,0.7972,0.63,0.89,0.92
201,0.78,0.88,0.93,0.59,0.92,0.91,0.8505,0.6607,0.8035,0.67,0.9,0.92
202,0.8,0.88,0.93,0.58,0.92,0.92,0.8512,0.6657,0.8041,0.67,0.9,0.92
203,0.78,0.88,0.93,0.56,0.92,0.91,0.8498,0.6446,0.8007,0.65,0.9,0.92
204,0.81,0.88,0.93,0.6,0.92,0.91,0.8526,0.6799,0.8049,0.69,0.9,0.92
205,0.79,0.88,0.93,0.61,0.92,0.91,0.8519,0.6781,0.8076,0.69,0.9,0.92
206,0.8,0.88,0.93,0.61,0.92,0.91,0.8512,0.686,0.8084,0.69,0.9,0.92
207,0.78,0.88,0.93,0.59,0.92,0.91,0.8519,0.6622,0.8062,0.67,0.9,0.92
208,0.79,0.88,0.93,0.61,0.92,0.91,0.8491,0.6748,0.8056,0.68,0.9,0.92
209,0.77,0.88,0.93,0.61,0.92,0.91,0.8512,0.6655,0.804,0.68,0.9,0.92
210,0.78,0.88,0.93,0.6,0.92,0.91,0.8519,0.6701,0.8064,0.68,0.9,0.92
211,0.79,0.88,0.93,0.61,0.92,0.92,0.854,0.6795,0.8082,0.69,0.9,0.92
212,0.79,0.88,0.93,0.59,0.92,0.91,0.8526,0.6686,0.8085,0.68,0.9,0.92
213,0.79,0.88,0.93,0.62,0.92,0.91,0.8483,0.6888,0.8068,0.7,0.9,0.92
214,0.78,0.88,0.93,0.59,0.92,0.91,0.8498,0.6622,0.8041,0.67,0.9,0.92
215,0.78,0.88,0.93,0.6,0.92,0.91,0.854,0.667,0.8063,0.68,0.9,0.92
216,0.78,0.88,0.93,0.57,0.92,0.91,0.8519,0.6511,0.8035,0.66,0.9,0.92
217,0.8,0.88,0.93,0.61,0.92,0.91,0.849,0.6813,0.8055,0.69,0.9,0.92
218,0.79,0.88,0.93,0.62,0.92,0.91,0.8526,0.6842,0.8075,0.69,0.9,0.92
219,0.81,0.88,0.93,0.62,0.92,0.91,0.8505,0.6952,0.8091,0.7,0.9,0.92
220,0.82,0.88,0.93,0.64,0.92,0.91,0.8512,0.7109,0.8111,0.72,0.9,0.92
221,0.8,0.88,0.93,0.62,0.92,0.91,0.8526,0.6874,0.8083,0.7,0.9,0.92
222,0.79,0.88,0.93,0.62,0.92,0.91,0.8498,0.6888,0.8054,0.7,0.9,0.92
223,0.81,0.88,0.93,0.62,0.92,0.91,0.8498,0.6952,0.8083,0.7,0.9,0.92
224,0.81,0.88,0.93,0.64,0.92,0.91,0.8498,0.7044,0.8096,0.71,0.9,0.92
225,0.78,0.89,0.93,0.63,0.92,0.91,0.854,0.6872,0.8117,0.7,0.9,0.92
226,0.8,0.88,0.93,0.64,0.92,0.91,0.8505,0.7012,0.8096,0.71,0.9,0.92
227,0.81,0.88,0.93,0.62,0.92,0.91,0.8533,0.6939,0.8105,0.7,0.9,0.92
228,0.82,0.89,0.93,0.64,0.92,0.92,0.8519,0.7154,0.8137,0.72,0.9,0.92
229,0.81,0.89,0.93,0.63,0.92,0.92,0.8554,0.6998,0.8132,0.71,0.9,0.92
230,0.82,0.89,0.93,0.65,0.92,0.91,0.8526,0.7199,0.814,0.73,0.9,0.92
231,0.82,0.89,0.93,0.64,0.92,0.92,0.8526,0.7121,0.8137,0.72,0.9,0.92
232,0.81,0.88,0.93,0.62,0.92,0.92,0.8512,0.6985,0.8103,0.71,0.9,0.92
233,0.82,0.89,0.93,0.64,0.92,0.92,0.8505,0.7154,0.8124,0.72,0.9,0.92
234,0.84,0.89,0.93,0.67,0.92,0.91,0.8491,0.7366,0.8117,0.74,0.9,0.92
235,0.81,0.88,0.93,0.63,0.92,0.92,0.8526,0.6998,0.8103,0.71,0.9,0.92
236,0.82,0.88,0.93,0.64,0.92,0.91,0.8491,0.7154,0.8097,0.72,0.9,0.92
237,0.82,0.89,0.93,0.64,0.92,0.91,0.8519,0.7154,0.8125,0.72,0.9,0.92
238,0.83,0.88,0.93,0.63,0.92,0.91,0.8519,0.713,0.8113,0.72,0.9,0.92
239,0.83,0.88,0.93,0.61,0.92,0.91,0.8505,0.6947,0.8085,0.7,0.9,0.92
240,0.82,0.88,0.93,0.65,0.92,0.91,0.8526,0.7167,0.8133,0.73,0.9,0.92
241,0.82,0.88,0.93,0.61,0.92,0.91,0.8512,0.6925,0.8087,0.7,0.9,0.92
242,0.83,0.88,0.93,0.62,0.92,0.91,0.8526,0.7085,0.8127,0.71,0.9,0.92
243,0.82,0.88,0.93,0.63,0.92,0.92,0.854,0.7063,0.8118,0.71,0.9,0.92
244,0.8,0.88,0.93,0.62,0.92,0.91,0.8505,0.6906,0.807,0.7,0.9,0.92
245,0.79,0.88,0.93,0.63,0.92,0.91,0.8483,0.6934,0.8047,0.7,0.9,0.92
246,0.8,0.88,0.93,0.66,0.92,0.91,0.8491,0.7116,0.8082,0.72,0.9,0.92
247,0.82,0.88,0.93,0.64,0.92,0.91,0.8476,0.7154,0.8083,0.72,0.9,0.92
248,0.82,0.88,0.93,0.64,0.92,0.91,0.8505,0.7121,0.8104,0.72,0.9,0.92
249,0.82,0.88,0.93,0.63,0.92,0.91,0.8484,0.7063,0.8077,0.71,0.9,0.92
250,0.83,0.89,0.93,0.64,0.92,0.91,0.8498,0.7187,0.811,0.73,0.9,0.92
251,0.84,0.89,0.93,0.64,0.92,0.92,0.8526,0.7221,0.8146,0.73,0.9,0.92
252,0.83,0.88,0.93,0.62,0.92,0.92,0.8505,0.7085,0.8104,0.71,0.9,0.92
253,0.86,0.89,0.93,0.63,0.92,0.92,0.8512,0.7234,0.8125,0.73,0.9,0.92
254,0.85,0.89,0.93,0.64,0.92,0.92,0.8512,0.7244,0.8124,0.73,0.9,0.92
255,0.85,0.89,0.93,0.64,0.92,0.92,0.8547,0.7244,0.8145,0.73,0.9,0.92
256,0.87,0.89,0.93,0.65,0.92,0.92,0.8533,0.7404,0.8161,0.74,0.9,0.92
257,0.83,0.88,0.93,0.62,0.92,0.91,0.8512,0.7039,0.8091,0.71,0.9,0.92
258,0.86,0.89,0.93,0.64,0.92,0.92,0.8512,0.7324,0.8139,0.74,0.9,0.92
