Model,micro_recall,macro_recall,confusion_matrix
224,0.8859,0.8496,"[[1226, 18, 95], [5, 116, 31], [92, 82, 1166]]"
225,0.8834,0.8498,"[[1224, 18, 97], [5, 117, 30], [93, 87, 1160]]"
226,0.8856,0.8513,"[[1223, 18, 98], [5, 117, 30], [89, 84, 1167]]"
227,0.8856,0.8494,"[[1221, 18, 100], [5, 116, 31], [89, 81, 1170]]"
228,0.8848,0.8508,"[[1223, 18, 98], [4, 117, 31], [90, 85, 1165]]"
229,0.8859,0.8516,"[[1225, 16, 98], [4, 117, 31], [91, 83, 1166]]"
230,0.8848,0.8508,"[[1225, 16, 98], [4, 117, 31], [90, 87, 1163]]"
231,0.8863,0.8518,"[[1224, 16, 99], [4, 117, 31], [89, 83, 1168]]"
232,0.8852,0.8491,"[[1223, 16, 100], [4, 116, 32], [89, 84, 1167]]"
233,0.8813,0.8445,"[[1220, 17, 102], [5, 115, 32], [94, 86, 1160]]"
234,0.8838,0.8501,"[[1219, 16, 104], [4, 117, 31], [90, 84, 1166]]"
235,0.8845,0.8467,"[[1222, 16, 101], [4, 115, 33], [89, 84, 1167]]"
236,0.8820,0.8450,"[[1220, 17, 102], [4, 115, 33], [92, 86, 1162]]"
237,0.8859,0.8496,"[[1222, 16, 101], [5, 116, 31], [89, 81, 1170]]"
238,0.8841,0.8503,"[[1221, 17, 101], [4, 117, 31], [93, 82, 1165]]"
239,0.8845,0.8467,"[[1222, 18, 99], [5, 115, 32], [92, 81, 1167]]"
240,0.8841,0.8484,"[[1220, 17, 102], [4, 116, 32], [88, 85, 1167]]"
241,0.8845,0.8486,"[[1222, 16, 101], [4, 116, 32], [91, 83, 1166]]"
242,0.8848,0.8489,"[[1222, 16, 101], [4, 116, 32], [90, 83, 1167]]"
243,0.8845,0.8486,"[[1221, 17, 101], [4, 116, 32], [90, 83, 1167]]"
244,0.8845,0.8486,"[[1220, 17, 102], [4, 116, 32], [90, 82, 1168]]"
245,0.8838,0.8501,"[[1220, 17, 102], [4, 117, 31], [90, 85, 1165]]"
246,0.8838,0.8462,"[[1219, 16, 104], [4, 115, 33], [93, 79, 1168]]"
247,0.8831,0.8438,"[[1223, 16, 100], [5, 114, 33], [91, 86, 1163]]"
248,0.8831,0.8438,"[[1219, 16, 104], [5, 114, 33], [91, 82, 1167]]"
249,0.8827,0.8455,"[[1223, 17, 99], [4, 115, 33], [93, 86, 1161]]"
250,0.8831,0.8476,"[[1220, 16, 103], [4, 116, 32], [91, 85, 1164]]"
251,0.8824,0.8452,"[[1220, 17, 102], [4, 115, 33], [91, 86, 1163]]"
252,0.8838,0.8443,"[[1222, 17, 100], [4, 114, 34], [92, 82, 1166]]"
253,0.8810,0.8423,"[[1221, 19, 99], [5, 114, 33], [94, 87, 1159]]"
254,0.8827,0.8416,"[[1224, 17, 98], [5, 113, 34], [95, 83, 1162]]"
