Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Confusion Matrix
217,0.8950900741787354,0.8934292020936719,0.8950900741787354,0.8906317285570434,0.9433067260685682,"[[1235, 1, 103], [6, 63, 83], [89, 15, 1236]]"
218,0.8947368421052632,0.893323079097003,0.8947368421052632,0.8903795461736859,0.9428409033798032,"[[1235, 1, 103], [6, 64, 82], [92, 14, 1234]]"
219,0.8933239138113741,0.8915474927017726,0.8933239138113741,0.8887357416998355,0.9429061443206512,"[[1235, 1, 103], [5, 62, 85], [93, 15, 1232]]"
220,0.8954433062522077,0.8941130603765222,0.8954433062522077,0.8912209746131451,0.9433802463352432,"[[1235, 1, 103], [6, 65, 81], [91, 14, 1235]]"
221,0.8947368421052632,0.8932249519080225,0.8947368421052632,0.8901013225024554,0.9433029017387023,"[[1235, 1, 103], [6, 62, 84], [90, 14, 1236]]"
222,0.8954433062522077,0.8940683932565374,0.8954433062522077,0.8910860853675208,0.94347145336366,"[[1235, 1, 103], [6, 64, 82], [90, 14, 1236]]"
223,0.8950900741787354,0.8935986054832773,0.8950900741787354,0.8904545443142932,0.9436320611624868,"[[1235, 1, 103], [6, 62, 84], [89, 14, 1237]]"
224,0.89579653832568,0.8944417013422464,0.89579653832568,0.8914393331789404,0.9439428750473488,"[[1235, 1, 103], [6, 64, 82], [89, 14, 1237]]"
225,0.8947368421052632,0.8932249519080225,0.8947368421052632,0.8901013225024554,0.9428327468871984,"[[1235, 1, 103], [6, 62, 84], [90, 14, 1236]]"
226,0.8940303779583186,0.8923124176851348,0.8940303779583186,0.8894418112133787,0.942787106095246,"[[1234, 1, 104], [6, 62, 84], [90, 15, 1235]]"
227,0.89579653832568,0.8941877539088571,0.89579653832568,0.8914646548097537,0.9434037423139404,"[[1235, 2, 102], [6, 64, 82], [89, 14, 1237]]"
228,0.8929706817379018,0.8913079654374865,0.8929706817379018,0.8880551914161081,0.9428045856905088,"[[1234, 1, 104], [6, 60, 86], [92, 14, 1234]]"
229,0.8947368421052632,0.8931129402064956,0.8947368421052632,0.8899482028227348,0.9430963799815044,"[[1236, 1, 102], [6, 61, 85], [90, 14, 1236]]"
230,0.8943836100317909,0.8929025057333444,0.8943836100317909,0.8898886092787625,0.9435169212113248,"[[1235, 1, 103], [6, 63, 83], [92, 14, 1234]]"
231,0.8922642175909573,0.8906200161077701,0.8922642175909573,0.8874949126184535,0.9420579809229862,"[[1234, 1, 104], [6, 61, 85], [95, 14, 1231]]"
232,0.8943836100317909,0.8926269539774785,0.8943836100317909,0.889785496576143,0.942320510962737,"[[1235, 1, 103], [6, 62, 84], [90, 15, 1235]]"
233,0.8943836100317909,0.8926269539774785,0.8943836100317909,0.889785496576143,0.9426889611286752,"[[1235, 1, 103], [6, 62, 84], [90, 15, 1235]]"
234,0.8940303779583186,0.892484655651846,0.8940303779583186,0.8892610593427976,0.943229673888429,"[[1234, 1, 104], [6, 61, 85], [90, 14, 1236]]"
235,0.8943836100317909,0.892682551519991,0.8943836100317909,0.8899249701401888,0.9428622464160078,"[[1235, 1, 103], [6, 63, 83], [91, 15, 1234]]"
236,0.8929706817379018,0.8910759693548544,0.8929706817379018,0.8882296571644571,0.9426717834220276,"[[1235, 1, 103], [6, 61, 85], [93, 15, 1232]]"
237,0.8929706817379018,0.8912496184067288,0.8929706817379018,0.8880453828258076,0.94188202569363,"[[1235, 1, 103], [6, 60, 86], [93, 14, 1233]]"
238,0.8936771458848464,0.8918215802094112,0.8936771458848464,0.8889364218503615,0.9425055931282622,"[[1235, 1, 103], [6, 61, 85], [91, 15, 1234]]"
239,0.8961497703991522,0.8947033776250749,0.8961497703991522,0.8915156351290645,0.9426347770111356,"[[1236, 1, 102], [5, 62, 85], [87, 14, 1239]]"
240,0.8940303779583186,0.8923097691819026,0.8940303779583186,0.8890952682577906,0.9423905967880812,"[[1236, 1, 102], [6, 60, 86], [91, 14, 1235]]"
241,0.8933239138113741,0.8913861297858197,0.8933239138113741,0.8884378268244901,0.9419727090002996,"[[1235, 1, 103], [6, 60, 86], [91, 15, 1234]]"
242,0.8947368421052632,0.8931668646833391,0.8947368421052632,0.8900917301564348,0.9427632770612954,"[[1236, 1, 102], [6, 62, 84], [91, 14, 1235]]"
243,0.8943836100317909,0.8923123193069697,0.8943836100317909,0.8896719747977034,0.9421888869154093,"[[1235, 2, 102], [6, 61, 85], [89, 15, 1236]]"
244,0.8940303779583186,0.8921364782959011,0.8940303779583186,0.8892799414879917,0.9425850497228884,"[[1236, 1, 102], [6, 61, 85], [91, 15, 1234]]"
245,0.8943836100317909,0.8927407168739274,0.8943836100317909,0.8899345602709147,0.942359596677299,"[[1234, 1, 104], [6, 63, 83], [90, 15, 1235]]"
246,0.8940303779583186,0.892002915125462,0.8940303779583186,0.8894601106149267,0.941935271145354,"[[1235, 2, 102], [6, 62, 84], [91, 15, 1234]]"
247,0.89579653832568,0.8940772091429051,0.89579653832568,0.8913183855236481,0.9429811214748942,"[[1236, 2, 101], [6, 63, 83], [89, 14, 1237]]"
248,0.8943836100317909,0.8929025057333444,0.8943836100317909,0.8898886092787625,0.9425949212972714,"[[1235, 1, 103], [6, 63, 83], [92, 14, 1234]]"
249,0.8950900741787354,0.8934812876878047,0.8950900741787354,0.8907684005821537,0.9430816607726276,"[[1235, 1, 103], [6, 64, 82], [90, 15, 1235]]"
250,0.8943836100317909,0.8927869835354639,0.8943836100317909,0.8901953833248382,0.942978868921381,"[[1235, 1, 103], [6, 65, 81], [93, 15, 1232]]"
251,0.8943836100317909,0.892682551519991,0.8943836100317909,0.8899249701401888,0.942584560223332,"[[1235, 1, 103], [6, 63, 83], [91, 15, 1234]]"
252,0.8947368421052632,0.8931174413040321,0.8947368421052632,0.8898114336642695,0.9424692784945208,"[[1235, 1, 103], [6, 60, 86], [88, 14, 1238]]"
253,0.8954433062522077,0.893865008630267,0.8954433062522077,0.8912454958561546,0.9436301936086244,"[[1235, 2, 102], [6, 65, 81], [91, 14, 1235]]"
254,0.8936771458848464,0.8921065903177147,0.8936771458848464,0.8890415700608838,0.9423467807722522,"[[1235, 1, 103], [6, 62, 84], [93, 14, 1233]]"
255,0.8947368421052632,0.8932249519080225,0.8947368421052632,0.8901013225024554,0.9421527440037344,"[[1235, 1, 103], [6, 62, 84], [90, 14, 1236]]"
256,0.8940303779583186,0.8924789455685062,0.8940303779583186,0.8893948356625055,0.9421458824544,"[[1235, 1, 103], [6, 62, 84], [92, 14, 1234]]"
257,0.8947368421052632,0.8933333963045474,0.8947368421052632,0.8902513129154757,0.9433119376193988,"[[1234, 1, 104], [6, 63, 83], [90, 14, 1236]]"
258,0.8943836100317909,0.8929599484777649,0.8943836100317909,0.8898980867830499,0.9430331868721328,"[[1234, 1, 104], [6, 63, 83], [91, 14, 1235]]"
259,0.8936771458848464,0.8920472272355275,0.8936771458848464,0.8893643191294385,0.9425182370056872,"[[1234, 1, 104], [6, 64, 82], [93, 15, 1232]]"
260,0.8940303779583186,0.8925869341386844,0.8940303779583186,0.8895448460924594,0.9426105153109106,"[[1234, 1, 104], [6, 63, 83], [92, 14, 1234]]"
261,0.8940303779583186,0.8924196978767227,0.8940303779583186,0.8897177254280121,0.9432401474067108,"[[1234, 1, 104], [6, 64, 82], [92, 15, 1233]]"
262,0.8933239138113741,0.891448559181068,0.8933239138113741,0.8885830469940622,0.9426423291153996,"[[1235, 1, 103], [6, 61, 85], [92, 15, 1233]]"
263,0.8940303779583186,0.8922521235724473,0.8940303779583186,0.8890853880565412,0.9417982571029136,"[[1237, 1, 101], [6, 60, 86], [92, 14, 1234]]"
264,0.8943836100317909,0.8929510705379745,0.8943836100317909,0.8900262542172879,0.943226570363465,"[[1235, 1, 103], [6, 64, 82], [93, 14, 1233]]"
265,0.89579653832568,0.8943955641684025,0.89579653832568,0.8913015778984027,0.942897712828296,"[[1235, 1, 103], [6, 63, 83], [88, 14, 1238]]"
266,0.8940303779583186,0.8925303235625155,0.8940303779583186,0.8895353304843903,0.9429713327059916,"[[1235, 1, 103], [6, 63, 83], [93, 14, 1233]]"
267,0.8940303779583186,0.8924225223878998,0.8940303779583186,0.8893851675383209,0.9423804615194924,"[[1236, 1, 102], [6, 62, 84], [93, 14, 1233]]"
268,0.8943836100317909,0.89285173235135,0.8943836100317909,0.8897480863807762,0.9430302400970266,"[[1235, 1, 103], [6, 62, 84], [91, 14, 1235]]"
269,0.8940303779583186,0.8925369677888962,0.8940303779583186,0.8894044110072655,0.9428935322209752,"[[1234, 1, 104], [6, 62, 84], [91, 14, 1235]]"
270,0.8943836100317909,0.8929025057333444,0.8943836100317909,0.8898886092787625,0.9426728070322103,"[[1235, 1, 103], [6, 63, 83], [92, 14, 1234]]"
271,0.8950900741787354,0.893639428388116,0.8950900741787354,0.8907233892205094,0.9427754283836116,"[[1236, 1, 102], [6, 64, 82], [92, 14, 1234]]"
272,0.89579653832568,0.8944417013422464,0.89579653832568,0.8914393331789404,0.9430080152282884,"[[1235, 1, 103], [6, 64, 82], [89, 14, 1237]]"
273,0.8950900741787354,0.893753216122502,0.8950900741787354,0.8907421648928119,0.9430071419513024,"[[1234, 1, 104], [6, 64, 82], [90, 14, 1236]]"
274,0.8940303779583186,0.8924789455685062,0.8940303779583186,0.8893948356625055,0.942391523842796,"[[1235, 1, 103], [6, 62, 84], [92, 14, 1234]]"
275,0.8954433062522077,0.8940683932565374,0.8954433062522077,0.8910860853675208,0.9431715820244324,"[[1235, 1, 103], [6, 64, 82], [90, 14, 1236]]"
276,0.8936771458848464,0.8920554579533012,0.8936771458848464,0.888761579248495,0.9429065390980712,"[[1234, 1, 104], [6, 60, 86], [90, 14, 1236]]"
277,0.8947368421052632,0.8933333963045474,0.8947368421052632,0.8902513129154757,0.9430402415324032,"[[1234, 1, 104], [6, 63, 83], [90, 14, 1236]]"
278,0.8943836100317909,0.8925083074001076,0.8943836100317909,0.8894978250152875,0.9428389820482116,"[[1235, 1, 103], [6, 60, 86], [88, 15, 1237]]"
279,0.8936771458848464,0.8918624047445806,0.8936771458848464,0.8889471609717479,0.9426087932013608,"[[1235, 1, 103], [5, 61, 86], [91, 15, 1234]]"
280,0.8943836100317909,0.8927926008314861,0.8943836100317909,0.8900711166727806,0.9429554401648454,"[[1234, 1, 104], [6, 64, 82], [91, 15, 1234]]"
281,0.8933239138113741,0.8915654873575016,0.8933239138113741,0.8887350962041629,0.9432335351904836,"[[1234, 1, 104], [6, 62, 84], [92, 15, 1233]]"
282,0.8950900741787354,0.8935397086617114,0.8950900741787354,0.8907778551496492,0.9430215562160112,"[[1234, 1, 104], [6, 64, 82], [89, 15, 1236]]"
283,0.8940303779583186,0.8920154809524931,0.8940303779583186,0.8891246128039368,0.9428246356167748,"[[1237, 1, 101], [6, 60, 86], [91, 15, 1234]]"
284,0.8943836100317909,0.8924960239215561,0.8943836100317909,0.8900879567868414,0.943116445185534,"[[1235, 2, 102], [6, 64, 82], [92, 15, 1233]]"
285,0.8950900741787354,0.89342447490285,0.8950900741787354,0.8907588540257122,0.9426706864785775,"[[1236, 1, 102], [6, 64, 82], [91, 15, 1234]]"
286,0.8943836100317909,0.8926099648475848,0.8943836100317909,0.8901067281237309,0.942619240747444,"[[1233, 2, 104], [6, 64, 82], [90, 15, 1235]]"
287,0.8947368421052632,0.893172440107687,0.8947368421052632,0.8899578557535954,0.9425499133103008,"[[1235, 1, 103], [6, 61, 85], [89, 14, 1237]]"
288,0.8950900741787354,0.893531206811894,0.8950900741787354,0.8909022536672838,0.9438288100396568,"[[1235, 1, 103], [6, 65, 81], [91, 15, 1234]]"
289,0.8929706817379018,0.8916127353233969,0.8929706817379018,0.8886421423131037,0.9434408092247774,"[[1233, 1, 105], [5, 64, 83], [95, 14, 1231]]"
290,0.8947368421052632,0.8932751196364116,0.8947368421052632,0.8902418731304768,0.9434050818682812,"[[1235, 1, 103], [6, 63, 83], [91, 14, 1235]]"
291,0.8954433062522077,0.8940683932565374,0.8954433062522077,0.8910860853675208,0.9435369454709472,"[[1235, 1, 103], [6, 64, 82], [90, 14, 1236]]"
292,0.8947368421052632,0.8933689594135041,0.8947368421052632,0.890514379499237,0.943511689493846,"[[1235, 1, 103], [6, 65, 81], [93, 14, 1233]]"
293,0.8950900741787354,0.8936955195894867,0.8950900741787354,0.890732823128098,0.9438047530614684,"[[1235, 1, 103], [6, 64, 82], [91, 14, 1235]]"
294,0.8940303779583186,0.8924789455685062,0.8940303779583186,0.8893948356625055,0.9434204739098814,"[[1235, 1, 103], [6, 62, 84], [92, 14, 1234]]"
295,0.8954433062522077,0.8939065687880724,0.8954433062522077,0.890929351674458,0.9426291291273672,"[[1237, 1, 101], [6, 63, 83], [91, 14, 1235]]"
296,0.8947368421052632,0.893284642282589,0.8947368421052632,0.8901108228499582,0.942404598553164,"[[1234, 1, 104], [6, 62, 84], [89, 14, 1237]]"
297,0.8943836100317909,0.8927986145790735,0.8943836100317909,0.889604646987652,0.9426738776979064,"[[1235, 1, 103], [6, 61, 85], [90, 14, 1236]]"
298,0.8933239138113741,0.8917664616985335,0.8933239138113741,0.8884305003752845,0.9428435617107264,"[[1234, 1, 104], [4, 60, 88], [91, 14, 1235]]"
299,0.8943836100317909,0.8928248417827832,0.8943836100317909,0.8902054594142792,0.9430195676622588,"[[1235, 1, 103], [5, 65, 82], [93, 15, 1232]]"
300,0.8943836100317909,0.8929025057333444,0.8943836100317909,0.8898886092787625,0.9432870635863956,"[[1235, 1, 103], [6, 63, 83], [92, 14, 1234]]"
301,0.8936771458848464,0.8917465055870589,0.8936771458848464,0.8891258725898811,0.9422353472066186,"[[1233, 2, 104], [6, 62, 84], [90, 15, 1235]]"
302,0.8954433062522077,0.8938546568093126,0.8954433062522077,0.8911217855750904,0.9426792328597178,"[[1235, 1, 103], [6, 64, 82], [89, 15, 1236]]"
303,0.8954433062522077,0.8940815974130385,0.8954433062522077,0.8909577226532032,0.942825114116341,"[[1234, 1, 104], [6, 63, 83], [88, 14, 1238]]"
304,0.8943836100317909,0.8930070995163372,0.8943836100317909,0.890035671862097,0.9429405107339368,"[[1234, 1, 104], [6, 64, 82], [92, 14, 1234]]"
305,0.8940303779583186,0.8919137915687891,0.8940303779583186,0.8891851667928633,0.9413475820115256,"[[1235, 2, 102], [5, 60, 87], [89, 15, 1236]]"
306,0.8943836100317909,0.8924659759607425,0.8943836100317909,0.8894868796556326,0.9421732015407416,"[[1235, 2, 102], [6, 60, 86], [89, 14, 1237]]"
307,0.8947368421052632,0.8933333963045474,0.8947368421052632,0.8902513129154757,0.9430681472848798,"[[1234, 1, 104], [6, 63, 83], [90, 14, 1236]]"
308,0.8950900741787354,0.8936591325845731,0.8950900741787354,0.890464007739618,0.9431965348906972,"[[1234, 1, 104], [6, 62, 84], [88, 14, 1238]]"
309,0.8936771458848464,0.8919954491857062,0.8936771458848464,0.8887518463095149,0.9425040696296436,"[[1235, 1, 103], [6, 60, 86], [91, 14, 1235]]"
310,0.8950900741787354,0.8935986054832773,0.8950900741787354,0.8904545443142932,0.9427997218615856,"[[1235, 1, 103], [6, 62, 84], [89, 14, 1237]]"
311,0.8943836100317909,0.8927986145790735,0.8943836100317909,0.889604646987652,0.9424219669263056,"[[1235, 1, 103], [6, 61, 85], [90, 14, 1236]]"
312,0.8943836100317909,0.8930189935640706,0.8943836100317909,0.88990747165476,0.9419991926985096,"[[1233, 1, 105], [6, 63, 83], [90, 14, 1236]]"
313,0.8936771458848464,0.8921710624853937,0.8936771458848464,0.8889174396075925,0.9410127863150736,"[[1233, 1, 105], [6, 61, 85], [90, 14, 1236]]"
314,0.8940303779583186,0.8923576841554716,0.8940303779583186,0.8888247066472463,0.9425397395417472,"[[1234, 1, 104], [5, 58, 89], [87, 14, 1239]]"
315,0.8950900741787354,0.8928679972958167,0.8950900741787354,0.8905504971237602,0.9424971362748188,"[[1236, 2, 101], [6, 62, 84], [88, 16, 1236]]"
316,0.8950900741787354,0.8934472898092652,0.8950900741787354,0.8906305302438398,0.942280256499234,"[[1234, 2, 103], [6, 63, 83], [89, 14, 1237]]"
317,0.8954433062522077,0.8940340599270417,0.8954433062522077,0.8908171789904372,0.9424967974140148,"[[1234, 1, 104], [6, 62, 84], [87, 14, 1239]]"
318,0.8943836100317909,0.8927986145790735,0.8943836100317909,0.889604646987652,0.9426813558577928,"[[1235, 1, 103], [6, 61, 85], [90, 14, 1236]]"
319,0.8961497703991522,0.8946027029139774,0.8961497703991522,0.8918285129782252,0.942721874321056,"[[1235, 1, 103], [6, 64, 82], [87, 15, 1238]]"
320,0.8950900741787354,0.8936591325845731,0.8950900741787354,0.890464007739618,0.9427215388213602,"[[1234, 1, 104], [6, 62, 84], [88, 14, 1238]]"
